
URL = http://4pda.ru/2020/04/20/370636/; name = Следующий iPad Air получит полностью новый дизайн и Mini-LED дисплей, 
URL = http://4pda.ru/2020/04/20/370635/; name = Ремейк музыкального Nokia 5310 Xpress Music поступил в продажу, 
URL = http://4pda.ru/2020/04/20/370634/; name = Официальные презентации PlayStation 5 и Xbox Series X проведут уже совсем скоро, 
URL = http://4pda.ru/2020/04/20/370632/; name = В MIUI появились расширенные настройки AMOLED-дисплеев, 
URL = http://4pda.ru/2020/04/20/370629/; name = В России резко упал спрос на смартфоны, 
URL = http://4pda.ru/2020/04/20/370631/; name = HUAWEI Watch GT 2 представлены в новых версиях, 
URL = http://4pda.ru/2020/04/20/370633/; name = СМИ: ремастер Crysis исправит главную техническую проблему оригинальной игры, 
URL = http://4pda.ru/2020/04/20/370627/; name = Хакеры заразили популярный язык программирования ради кражи биткойнов, 
URL = http://4pda.ru/2020/04/20/370542/; name = Обзор Lenovo IdeaPad S340: недорогой, компактный, симпатичный. В чём подвох?, 
URL = http://4pda.ru/2020/04/20/370626/; name = TSMC раскрыла подробности о 3-нм процессорах и назвала дату их выпуска, 
URL = http://4pda.ru/2020/04/20/370624/; name = NASA опубликовало последний снимок космического телескопа Spitzer, 
URL = http://4pda.ru/2020/04/20/370625/; name = Авторы Metro Exodus создают новый кооперативный шутер на Unreal Engine 4, 
URL = http://4pda.ru/2020/04/20/370623/; name = OPPO представила доступный смартфон A12 с процессором MediaTek, 
URL = http://4pda.ru/2020/04/20/370622/; name = Опубликованы первые кадры геймплея мобильного спин-оффа NieR ВИДЕО, 
URL = http://4pda.ru/2020/04/20/370621/; name = Инсайдер рассказал, как Apple решит проблему с разъёмами в новых iPhone, 
URL = http://4pda.ru/2020/04/20/370619/; name = Новый апдейт Windows 10 «сломал» систему у некоторых пользователей, 
URL = http://4pda.ru/2020/04/20/370620/; name = В «Сколково» представили первый российский мини-ПК с процессором «Байкал», 
URL = http://4pda.ru/2020/04/20/370618/; name = Дизайн и ключевые характеристики HONOR 10X Pro раскрыты до анонса, 
URL = http://4pda.ru/2020/04/20/370617/; name = Новое приложение проверяет смартфоны на совместимость с MIUI 12, 
URL = http://4pda.ru/2020/04/20/370616/; name = Все модификации HUAWEI nova 7 засветились на «шпионских» снимках, 
URL = http://4pda.ru/2020/04/20/370615/; name = Xiaomi выпустила новый монитор для дома и офиса за $99, 
URL = http://4pda.ru/2020/04/20/370614/; name = OPPO представила «облегчённую» версию флагмана Find X2, 
URL = http://4pda.ru/2020/04/20/370613/; name = Дизайнерский смартфон LG Velvet показали в официальном видеоролике, 
URL = http://4pda.ru/2020/04/19/370592/; name = HUAWEI AppGallery: как быстро меняется магазин и ассортимент приложений, 
URL = http://4pda.ru/2020/04/19/370496/; name = Роботы научились «питаться» металлами для получения электроэнергии, 
URL = http://4pda.ru/2020/04/19/370601/; name = Фанат установил на Skyrim около трёх сотен графических модов. Получился второй ремастер ВИДЕО, 
URL = http://4pda.ru/2020/04/19/370454/; name = Энтузиаст воссоздал зловещий ИИ из «Космической одиссеи», 
URL = http://4pda.ru/2020/04/19/370501/; name = Разработана солнечная панель с рекордной эффективностью, 
URL = http://4pda.ru/2020/04/19/370498/; name = Samsung установила рекорд скорости в сетях 5G, 
URL = http://4pda.ru/2020/04/19/370460/; name = Россия включится в борьбу с США за место на Луне
